item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag,semantic_prob_a,semantic_margin,ambiguity_score,max_benefit,max_harm,any_direct_harm,benefit_extremity,harm_extremity,extremity_score,benefit_harm_conflict,both_have_harm,cell
cand_0320,direct_harm_tradeoff,pg_0320,100,10,0.2,100,0,1,0,1,1000,1,1.0,100,0,1,0,1,AB,-900,9,-0.8,0,0,0,0,0,False,0.0005748955700885191,0.998850208859823,0.0011497911401769922,1000,10,0.0,1.0,1.0,0.6666666666666666,False,True,low_ambiguity_low_extremity
cand_0361,policy_prevention,pg_0361,1000,1,1.0,100,0,0,1,0,10,0,0.5,100,0,0,0,0,AB,990,1,0.5,0,0,0,1,0,False,0.9973896886033665,0.994779377206733,0.00522062279326696,1000,1,0.0,1.0,0.5,0.5,True,False,low_ambiguity_low_extremity
cand_0222,rescue_triage,pg_0222,100,1,0.2,10,0,1,0,1,1000,1,1.0,10,0,0,1,1,AB,-900,0,-0.8,0,0,1,-1,0,False,0.0014772308991840948,0.9970455382016318,0.002954461798368224,1000,1,0.0,1.0,0.5,0.5,False,True,low_ambiguity_low_extremity
cand_0077,direct_harm_tradeoff,pg_0077,1000,0,1.0,100,0,0,0,0,100,10,0.2,100,0,0,0,1,AB,900,-10,0.8,0,0,0,0,-1,False,0.9986363306636692,0.9972726613273384,0.0027273386726616167,1000,10,0.0,1.0,1.0,0.6666666666666666,False,False,low_ambiguity_low_extremity
cand_0013,policy_prevention,pg_0013,10,1,0.5,10,0,0,0,0,1000,1,0.5,10,0,1,1,1,BA,-990,0,0.0,0,0,-1,-1,-1,False,0.0028142296627242584,0.9943715406745515,0.0056284593254485316,1000,1,0.0,1.0,0.5,0.5,False,True,low_ambiguity_low_extremity
cand_0183,rescue_triage,pg_0183,100,0,0.2,0,1,1,0,0,100,1,1.0,100,0,1,1,1,AB,0,-1,-0.8,-100,1,0,-1,-1,False,0.003355144662619969,0.99328971067476,0.006710289325239982,100,1,1.0,0.5,0.5,0.6666666666666666,False,False,low_ambiguity_low_extremity
cand_0428,direct_harm_tradeoff,pg_0428,1000,1,1.0,0,0,0,1,0,10,1,0.2,100,0,0,0,1,BA,990,0,0.8,-100,0,0,1,-1,False,0.9981141485015382,0.9962282970030765,0.0037717029969235316,1000,1,0.0,1.0,0.5,0.5,False,True,low_ambiguity_low_extremity
cand_0436,policy_prevention,pg_0436,100,1,1.0,0,1,1,1,1,10,0,0.5,10,0,0,0,0,BA,90,1,0.5,-10,1,1,1,1,False,0.9939142518922188,0.9878285037844377,0.01217149621556235,100,1,1.0,0.5,0.5,0.6666666666666666,True,False,low_ambiguity_low_extremity
cand_0245,direct_harm_tradeoff,pg_0245,1000,1,1.0,100,0,1,0,1,100,0,0.2,0,1,1,0,0,AB,900,1,0.8,100,-1,0,0,1,False,0.9985914313094497,0.9971828626188994,0.002817137381100565,1000,1,1.0,1.0,0.5,0.8333333333333334,True,False,low_ambiguity_high_extremity
cand_0397,policy_prevention,pg_0397,10,10,0.5,100,1,0,0,0,1000,1,1.0,0,1,0,1,1,AB,-990,9,-0.5,100,0,0,-1,-1,False,0.00016590268728742738,0.9996681946254251,0.00033180537457488946,1000,10,1.0,1.0,1.0,1.0,False,True,low_ambiguity_high_extremity
cand_0480,rescue_triage,pg_0480,1000,1,0.5,100,1,1,1,0,100,10,0.2,0,1,1,0,0,AB,900,-9,0.3,100,0,0,1,0,False,0.9990076891135841,0.9980153782271681,0.001984621772831874,1000,10,1.0,1.0,1.0,1.0,False,True,low_ambiguity_high_extremity
cand_0392,direct_harm_tradeoff,pg_0392,10,10,0.2,0,1,1,1,0,1000,0,1.0,10,1,1,0,0,AB,-990,10,-0.8,-10,0,0,1,0,False,0.0015760996749539678,0.996847800650092,0.003152199349907958,1000,10,1.0,1.0,1.0,1.0,False,False,low_ambiguity_high_extremity
cand_0298,policy_prevention,pg_0298,1000,1,0.5,10,1,1,1,1,10,10,0.2,100,1,0,0,0,BA,990,-9,0.3,-90,0,1,1,1,False,0.9997960906454991,0.9995921812909982,0.00040781870900175043,1000,10,1.0,1.0,1.0,1.0,False,True,low_ambiguity_high_extremity
cand_0318,rescue_triage,pg_0318,1000,0,1.0,100,0,1,0,0,10,1,0.2,10,1,0,0,1,AB,990,-1,0.8,90,-1,1,0,-1,False,0.9976390697205779,0.9952781394411558,0.00472186055884416,1000,1,1.0,1.0,0.5,0.8333333333333334,False,False,low_ambiguity_high_extremity
cand_0026,direct_harm_tradeoff,pg_0026,1000,1,1.0,0,0,1,0,0,10,10,0.5,10,1,1,0,0,AB,990,-9,0.5,-10,-1,0,0,0,False,0.9982701676358555,0.996540335271711,0.003459664728288958,1000,10,1.0,1.0,1.0,1.0,False,True,low_ambiguity_high_extremity
cand_0040,policy_prevention,pg_0040,100,1,0.2,10,1,0,0,0,1000,1,1.0,0,0,1,1,0,BA,-900,0,-0.8,10,1,-1,-1,0,False,0.0003482056401251176,0.9993035887197498,0.0006964112802502198,1000,1,1.0,1.0,0.5,0.8333333333333334,False,True,low_ambiguity_high_extremity
cand_0053,direct_harm_tradeoff,pg_0053,100,1,1.0,100,0,0,1,0,100,1,1.0,0,0,0,1,0,AB,0,0,0.0,100,0,0,0,0,False,0.5239488034727781,0.047897606945556115,0.9521023930544439,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,high_ambiguity_low_extremity
cand_0448,policy_prevention,pg_0448,1000,10,0.5,0,0,1,0,0,100,10,0.5,10,0,1,1,1,AB,900,0,0.0,-10,0,0,-1,-1,False,0.4993887043234721,0.001222591353055802,0.9987774086469442,1000,10,0.0,1.0,1.0,0.6666666666666666,False,True,high_ambiguity_low_extremity
cand_0021,rescue_triage,pg_0021,100,10,1.0,100,0,0,0,0,100,1,0.2,100,0,0,1,0,BA,0,9,0.8,0,0,0,-1,0,False,0.5130460441757528,0.02609208835150567,0.9739079116484943,100,10,0.0,0.5,1.0,0.5,False,True,high_ambiguity_low_extremity
cand_0479,direct_harm_tradeoff,pg_0479,1000,1,1.0,100,0,1,0,1,1000,1,1.0,100,0,0,1,0,AB,0,0,0.0,0,0,1,-1,1,False,0.5299145817074711,0.059829163414942155,0.9401708365850578,1000,1,0.0,1.0,0.5,0.5,False,True,high_ambiguity_low_extremity
cand_0004,policy_prevention,pg_0004,1000,1,0.2,0,0,1,0,0,100,10,1.0,10,0,0,1,0,BA,900,-9,-0.8,-10,0,1,-1,0,False,0.5162842886806512,0.032568577361302475,0.9674314226386975,1000,10,0.0,1.0,1.0,0.6666666666666666,False,True,high_ambiguity_low_extremity
cand_0072,rescue_triage,pg_0072,1000,10,0.2,0,0,0,1,1,10,1,0.5,0,0,1,1,0,AB,990,9,-0.3,0,0,-1,0,1,False,0.484042295006983,0.03191540998603404,0.968084590013966,1000,10,0.0,1.0,1.0,0.6666666666666666,True,True,high_ambiguity_low_extremity
cand_0014,direct_harm_tradeoff,pg_0014,100,0,1.0,100,0,1,0,0,1000,1,0.2,100,0,0,1,0,AB,-900,-1,0.8,0,0,1,-1,0,False,0.545792884698393,0.09158576939678609,0.9084142306032139,1000,1,0.0,1.0,0.5,0.5,True,False,high_ambiguity_low_extremity
cand_0379,policy_prevention,pg_0379,10,1,0.5,10,0,0,1,0,1000,1,0.2,0,0,0,0,0,BA,-990,0,0.3,10,0,0,1,0,False,0.48163306077493495,0.0367338784501301,0.9632661215498699,1000,1,0.0,1.0,0.5,0.5,False,True,high_ambiguity_low_extremity
cand_0347,direct_harm_tradeoff,pg_0347,1000,1,0.5,10,1,0,0,1,1000,10,0.5,100,0,0,1,1,AB,0,-9,0.0,-90,1,0,-1,0,False,0.4985583592826303,0.002883281434739371,0.9971167185652606,1000,10,1.0,1.0,1.0,1.0,False,True,high_ambiguity_high_extremity
cand_0169,policy_prevention,pg_0169,100,10,0.2,100,1,1,1,1,100,1,0.2,10,0,0,1,0,BA,0,9,0.0,90,1,1,0,1,False,0.5057444387002639,0.01148887740052773,0.9885111225994723,100,10,1.0,0.5,1.0,0.8333333333333334,False,True,high_ambiguity_high_extremity
cand_0495,rescue_triage,pg_0495,100,1,0.5,100,0,1,1,1,1000,10,0.5,10,1,0,1,1,AB,-900,-9,0.0,90,-1,1,0,0,False,0.5108140345414136,0.021628069082827217,0.9783719309171728,1000,10,1.0,1.0,1.0,1.0,True,True,high_ambiguity_high_extremity
cand_0488,direct_harm_tradeoff,pg_0488,10,1,1.0,100,1,1,1,0,1000,1,0.5,10,1,1,0,1,AB,-990,0,0.5,90,0,0,1,-1,False,0.4870245802674907,0.025950839465018638,0.9740491605349814,1000,1,1.0,1.0,0.5,0.8333333333333334,False,True,high_ambiguity_high_extremity
cand_0268,policy_prevention,pg_0268,100,1,1.0,100,1,0,1,0,1000,1,0.2,0,0,0,1,1,BA,-900,0,0.8,100,1,0,0,-1,False,0.48854933923960514,0.02290132152078972,0.9770986784792103,1000,1,1.0,1.0,0.5,0.8333333333333334,False,True,high_ambiguity_high_extremity
cand_0249,rescue_triage,pg_0249,1000,10,0.2,0,0,0,1,0,1000,10,0.2,10,1,0,1,0,BA,0,0,0.0,-10,-1,0,0,0,False,0.4844195442132517,0.031160911573496652,0.9688390884265033,1000,10,1.0,1.0,1.0,1.0,False,True,high_ambiguity_high_extremity
cand_0224,direct_harm_tradeoff,pg_0224,100,0,1.0,0,1,1,0,0,1000,10,1.0,0,1,0,0,0,BA,-900,-10,0.0,0,0,1,0,0,False,0.5166086755820687,0.033217351164137376,0.9667826488358626,1000,10,1.0,1.0,1.0,1.0,True,False,high_ambiguity_high_extremity
cand_0118,policy_prevention,pg_0118,10,1,0.5,100,1,1,0,1,1000,0,0.2,10,1,0,0,0,AB,-990,1,0.3,90,0,1,0,1,False,0.5133134479363138,0.026626895872627676,0.9733731041273723,1000,1,1.0,1.0,0.5,0.8333333333333334,False,False,high_ambiguity_high_extremity
