item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag,semantic_prob_a,semantic_margin,ambiguity_score,max_benefit,max_harm,any_direct_harm,benefit_extremity,harm_extremity,extremity_score,benefit_harm_conflict,both_have_harm,corner_distance,cell
cand_0302,direct_harm_tradeoff,pg_0302,100,0,0.2,100,0,0,0,0,100,1,1.0,0,0,0,1,0,AB,0,-1,-0.8,100,0,0,-1,0,False,0.011750227752187497,0.976499544495625,0.023500455504374962,100,1,0.0,0.5,0.5,0.3333333333333333,False,False,0.11166338252002421,low_ambiguity_low_extremity
cand_0274,policy_prevention,pg_0274,10,1,1.0,0,0,1,1,1,10,1,0.5,0,0,0,1,0,AB,0,0,0.5,0,0,1,0,1,False,0.9737459122052115,0.9474918244104229,0.0525081755895771,10,1,0.0,0.0,0.5,0.16666666666666666,False,True,0.030534886281523635,low_ambiguity_low_extremity
cand_0084,rescue_triage,pg_0084,100,1,0.5,10,0,1,1,0,10,0,0.2,100,0,0,0,0,BA,90,1,0.3,-90,0,1,1,0,False,0.9626866262135634,0.9253732524271268,0.07462674757287324,100,1,0.0,0.5,0.5,0.3333333333333333,True,False,0.11668026256441645,low_ambiguity_low_extremity
cand_0032,direct_harm_tradeoff,pg_0032,10,10,0.2,10,0,1,0,1,10,10,1.0,0,0,1,1,0,BA,0,0,-0.8,10,0,0,-1,1,False,0.02099198290199895,0.9580160341960021,0.04198396580399788,10,10,0.0,0.0,1.0,0.3333333333333333,False,True,0.11287376449574237,low_ambiguity_low_extremity
cand_0121,policy_prevention,pg_0121,100,1,0.2,10,0,1,0,0,100,1,1.0,10,0,1,0,1,BA,0,0,-0.8,0,0,0,0,-1,False,0.014163896480094073,0.9716722070398118,0.02832779296018817,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,0.11191357496510639,low_ambiguity_low_extremity
cand_0276,rescue_triage,pg_0276,10,0,1.0,10,0,1,0,0,10,0,0.2,0,1,1,0,0,AB,0,0,0.8,10,-1,0,0,0,False,0.9618136414754281,0.9236272829508563,0.07637271704914372,10,0,1.0,0.0,0.0,0.3333333333333333,False,False,0.11694390302057968,low_ambiguity_low_extremity
cand_0446,direct_harm_tradeoff,pg_0446,100,1,1.0,0,0,0,1,1,10,1,0.5,100,0,1,0,0,AB,90,0,0.5,-100,0,-1,1,1,False,0.9761744627969989,0.9523489255939979,0.047651074406002136,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,0.11338173600315746,low_ambiguity_low_extremity
cand_0361,policy_prevention,pg_0361,1000,1,1.0,100,0,0,1,0,10,0,0.5,100,0,0,0,0,AB,990,1,0.5,0,0,0,1,0,False,0.9973896886033665,0.994779377206733,0.00522062279326696,1000,1,0.0,1.0,0.5,0.5,True,False,0.25002725490234956,low_ambiguity_low_extremity
cand_0392,direct_harm_tradeoff,pg_0392,10,10,0.2,0,1,1,1,0,1000,0,1.0,10,1,1,0,0,AB,-990,10,-0.8,-10,0,0,1,0,False,0.0015760996749539678,0.996847800650092,0.003152199349907958,1000,10,1.0,1.0,1.0,1.0,False,False,9.936360741560153e-06,low_ambiguity_high_extremity
cand_0397,policy_prevention,pg_0397,10,10,0.5,100,1,0,0,0,1000,1,1.0,0,1,0,1,1,AB,-990,9,-0.5,100,0,0,-1,-1,False,0.00016590268728742738,0.9996681946254251,0.00033180537457488946,1000,10,1.0,1.0,1.0,1.0,False,True,1.1009480659678269e-07,low_ambiguity_high_extremity
cand_0480,rescue_triage,pg_0480,1000,1,0.5,100,1,1,1,0,100,10,0.2,0,1,1,0,0,AB,900,-9,0.3,100,0,0,1,0,False,0.9990076891135841,0.9980153782271681,0.001984621772831874,1000,10,1.0,1.0,1.0,1.0,False,True,3.938723581198329e-06,low_ambiguity_high_extremity
cand_0026,direct_harm_tradeoff,pg_0026,1000,1,1.0,0,0,1,0,0,10,10,0.5,10,1,1,0,0,AB,990,-9,0.5,-10,-1,0,0,0,False,0.9982701676358555,0.996540335271711,0.003459664728288958,1000,10,1.0,1.0,1.0,1.0,False,True,1.196928003216671e-05,low_ambiguity_high_extremity
cand_0298,policy_prevention,pg_0298,1000,1,0.5,10,1,1,1,1,10,10,0.2,100,1,0,0,0,BA,990,-9,0.3,-90,0,1,1,1,False,0.9997960906454991,0.9995921812909982,0.00040781870900175043,1000,10,1.0,1.0,1.0,1.0,False,True,1.663160994118544e-07,low_ambiguity_high_extremity
cand_0186,rescue_triage,pg_0186,100,10,0.2,0,0,0,1,1,1000,1,1.0,100,1,1,0,0,BA,-900,9,-0.8,-100,-1,-1,1,1,False,0.002611583588478435,0.9947768328230431,0.005223167176956922,1000,10,1.0,1.0,1.0,1.0,False,True,2.7281475358440143e-05,low_ambiguity_high_extremity
cand_0086,direct_harm_tradeoff,pg_0086,10,0,0.2,0,1,0,0,0,1000,10,1.0,0,0,1,0,0,BA,-990,-10,-0.8,0,1,-1,0,0,False,0.007404676365713603,0.9851906472685728,0.01480935273142725,1000,10,1.0,1.0,1.0,1.0,True,False,0.00021931692832383176,low_ambiguity_high_extremity
cand_0469,policy_prevention,pg_0469,1000,1,0.2,0,0,0,1,1,100,10,0.2,0,1,0,0,1,BA,900,-9,0.0,0,-1,0,1,0,False,0.996132112990144,0.9922642259802881,0.007735774019711927,1000,10,1.0,1.0,1.0,1.0,False,True,5.984219968405003e-05,low_ambiguity_high_extremity
cand_0053,direct_harm_tradeoff,pg_0053,100,1,1.0,100,0,0,1,0,100,1,1.0,0,0,0,1,0,AB,0,0,0.0,100,0,0,0,0,False,0.5239488034727781,0.047897606945556115,0.9521023930544439,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,0.11340529186222209,high_ambiguity_low_extremity
cand_0319,policy_prevention,pg_0319,10,1,1.0,10,0,0,0,0,10,0,1.0,100,0,0,0,0,BA,0,1,0.0,-90,0,0,0,0,False,0.40212328787796614,0.19575342424406772,0.8042465757559323,10,1,0.0,0.0,0.5,0.16666666666666666,False,False,0.06609718088105573,high_ambiguity_low_extremity
cand_0237,rescue_triage,pg_0237,10,1,0.2,0,0,1,0,0,10,10,0.5,10,0,1,0,0,BA,0,-9,-0.3,-10,0,0,0,0,False,0.5935728056981433,0.1871456113962866,0.8128543886037134,10,10,0.0,0.0,1.0,0.3333333333333333,False,True,0.146134590976001,high_ambiguity_low_extremity
cand_0107,direct_harm_tradeoff,pg_0107,10,10,0.2,0,0,1,1,1,10,10,0.2,100,0,0,1,1,BA,0,0,0.0,-100,0,1,0,0,False,0.6214848410669235,0.24296968213384695,0.757030317866153,10,10,0.0,0.0,1.0,0.3333333333333333,False,True,0.17014537754733372,high_ambiguity_low_extremity
cand_0418,policy_prevention,pg_0418,100,1,0.5,100,0,1,0,0,10,0,0.5,10,0,1,0,0,AB,90,1,0.0,90,0,0,0,0,False,0.534646437183075,0.06929287436615006,0.9307071256338499,100,1,0.0,0.5,0.5,0.3333333333333333,True,False,0.11591261354903416,high_ambiguity_low_extremity
cand_0252,rescue_triage,pg_0252,10,10,1.0,0,0,1,0,0,10,10,1.0,100,0,0,0,1,AB,0,0,0.0,-100,0,1,0,-1,False,0.3952245960101105,0.20955080797977899,0.790449192020221,10,10,0.0,0.0,1.0,0.3333333333333333,False,True,0.1550226522360893,high_ambiguity_low_extremity
cand_0479,direct_harm_tradeoff,pg_0479,1000,1,1.0,100,0,1,0,1,1000,1,1.0,100,0,0,1,0,AB,0,0,0.0,0,0,1,-1,1,False,0.5299145817074711,0.059829163414942155,0.9401708365850578,1000,1,0.0,1.0,0.5,0.5,False,True,0.25357952879493184,high_ambiguity_low_extremity
cand_0379,policy_prevention,pg_0379,10,1,0.5,10,0,0,1,0,1000,1,0.2,0,0,0,0,0,BA,-990,0,0.3,10,0,0,1,0,False,0.48163306077493495,0.0367338784501301,0.9632661215498699,1000,1,0.0,1.0,0.5,0.5,False,True,0.25134937782598893,high_ambiguity_low_extremity
cand_0347,direct_harm_tradeoff,pg_0347,1000,1,0.5,10,1,0,0,1,1000,10,0.5,100,0,0,1,1,AB,0,-9,0.0,-90,1,0,-1,0,False,0.4985583592826303,0.002883281434739371,0.9971167185652606,1000,10,1.0,1.0,1.0,1.0,False,True,8.313311831912725e-06,high_ambiguity_high_extremity
cand_0196,policy_prevention,pg_0196,1000,10,0.2,100,1,1,1,1,100,10,1.0,0,1,1,1,0,AB,900,0,-0.8,100,0,0,0,1,False,0.554475093515379,0.1089501870307581,0.8910498129692419,1000,10,1.0,1.0,1.0,1.0,False,True,0.01187014325403717,high_ambiguity_high_extremity
cand_0495,rescue_triage,pg_0495,100,1,0.5,100,0,1,1,1,1000,10,0.5,10,1,0,1,1,AB,-900,-9,0.0,90,-1,1,0,0,False,0.5108140345414136,0.021628069082827217,0.9783719309171728,1000,10,1.0,1.0,1.0,1.0,True,True,0.00046777337225154653,high_ambiguity_high_extremity
cand_0224,direct_harm_tradeoff,pg_0224,100,0,1.0,0,1,1,0,0,1000,10,1.0,0,1,0,0,0,BA,-900,-10,0.0,0,0,1,0,0,False,0.5166086755820687,0.033217351164137376,0.9667826488358626,1000,10,1.0,1.0,1.0,1.0,True,False,0.0011033924183616187,high_ambiguity_high_extremity
cand_0301,policy_prevention,pg_0301,1000,10,0.2,100,1,1,0,1,100,1,0.5,100,1,0,1,0,AB,900,9,-0.3,0,0,1,-1,1,False,0.41962650606105284,0.16074698787789432,0.8392530121221057,1000,10,1.0,1.0,1.0,1.0,True,True,0.025839594111815904,high_ambiguity_high_extremity
cand_0249,rescue_triage,pg_0249,1000,10,0.2,0,0,0,1,0,1000,10,0.2,10,1,0,1,0,BA,0,0,0.0,-10,-1,0,0,0,False,0.4844195442132517,0.031160911573496652,0.9688390884265033,1000,10,1.0,1.0,1.0,1.0,False,True,0.0009710024100912777,high_ambiguity_high_extremity
cand_0233,direct_harm_tradeoff,pg_0233,1000,10,0.5,100,0,0,0,1,100,1,0.5,100,1,0,1,0,BA,900,9,0.0,0,-1,0,-1,1,False,0.5483175617884865,0.0966351235769729,0.9033648764230271,1000,10,1.0,1.0,1.0,1.0,True,True,0.009338347108736824,high_ambiguity_high_extremity
cand_0088,policy_prevention,pg_0088,100,10,1.0,0,0,1,1,0,1000,1,0.2,0,1,0,0,1,AB,-900,9,0.8,0,-1,1,1,-1,False,0.5817060118095705,0.16341202361914098,0.836587976380859,1000,10,1.0,1.0,1.0,1.0,False,True,0.02670348946330269,high_ambiguity_high_extremity
